tweet_id,retweets,favorite_count,timestamp,source,text,rating_numerator,rating_denominator,name,dog_stage,breed,confidence
892420643555336193,6968,33687,2017-08-01 16:23:56+00:00,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,13.0,10.0,Phineas,None,none,0.0
892177421306343426,5272,29220,2017-08-01 00:17:27+00:00,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",13.0,10.0,Tilly,None,chihuahua,0.323581
891815181378084864,3464,21969,2017-07-31 00:18:03+00:00,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,12.0,10.0,Archie,None,chihuahua,0.716012
891689557279858688,7190,36774,2017-07-30 15:58:51+00:00,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,13.0,10.0,Darla,None,labrador retriever,0.1680859999999999
891327558926688256,7712,35170,2017-07-29 16:00:24+00:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",12.0,10.0,Franklin,None,basset,0.555712
891087950875897856,2584,17741,2017-07-29 00:08:17+00:00,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,13.0,10.0,None,None,chesapeake bay retriever,0.425595
890971913173991426,1646,10328,2017-07-28 16:27:12+00:00,Twitter for iPhone,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below,13.0,10.0,Jax,None,appenzeller,0.341703
890729181411237888,15674,56641,2017-07-28 00:22:40+00:00,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,13.0,10.0,None,None,pomeranian,0.566142
890609185150312448,3603,24413,2017-07-27 16:25:51+00:00,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,13.0,10.0,Zoey,None,irish terrier,0.4875739999999999
890240255349198849,6066,27841,2017-07-26 15:59:51+00:00,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,14.0,10.0,Cassie,Doggo,pembroke,0.511319
890006608113172480,6112,26932,2017-07-26 00:31:25+00:00,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,13.0,10.0,Koda,None,samoyed,0.957979
889880896479866881,4139,24472,2017-07-25 16:11:53+00:00,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,13.0,10.0,Bruno,None,french bulldog,0.377417
889665388333682689,8299,41864,2017-07-25 01:55:32+00:00,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,13.0,10.0,None,Puppo,pembroke,0.966327
889638837579907072,3699,23565,2017-07-25 00:10:02+00:00,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,12.0,10.0,Ted,None,french bulldog,0.99165
889531135344209921,1873,13308,2017-07-24 17:02:04+00:00,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek,13.0,10.0,Stuart,Puppo,golden retriever,0.953442
889278841981685760,4418,22021,2017-07-24 00:19:32+00:00,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek,13.0,10.0,Oliver,None,whippet,0.626152
888917238123831296,3742,25524,2017-07-23 00:22:39+00:00,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both,12.0,10.0,Jim,None,golden retriever,0.714719
888804989199671297,3511,22381,2017-07-22 16:56:37+00:00,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best,13.0,10.0,Zeke,None,golden retriever,0.46976
888554962724278272,2862,17245,2017-07-22 00:23:06+00:00,Twitter for iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af,13.0,10.0,Ralphus,None,siberian husky,0.700377
888078434458587136,2884,19088,2017-07-20 16:49:33+00:00,Twitter for iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway,12.0,10.0,Gerald,None,french bulldog,0.995026
887705289381826560,4514,26515,2017-07-19 16:06:48+00:00,Twitter for iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic,13.0,10.0,Jeffrey,None,basset,0.821664
